initialized model with 3337 latches, 480 inputs and 1 properties
tsim: performed 46 steps
tsim: found cycle from 13
tsim: found 0 constants and 1 latch equivalences
seqsimpl: found 56 latch equivalences
 ... : 52 258 590 8070
 ... : 52 258 590 8137
 ... : 52 258 590 8204
 ... : 52 258 590 8271
 ... : 52 258 590 8338
 ... : 52 258 590 8405
 ... : 52 258 590 8472
 ... : 52 258 590 8540
 ... : 52 258 590 8607
 ... : 52 258 590 8674
 ... : 52 258 590 8741
 ... : 52 258 590 8808
 ... : 52 258 590 8875
 ... : 52 258 590 8942
 ... : 52 258 590 9009
 ... : 52 258 590 9076
 ... : 52 258 590 9143
 ... : 52 258 590 9210
 ... : 52 258 590 9277
 ... : 52 258 590 9344
 ... : 52 258 590 9411
 ... : 52 258 590 9478
 ... : 52 258 590 9545
 ... : 52 258 590 9612
 ... : 52 258 590 9679
 ... : 52 258 590 9746
 ... : 52 258 590 9813
 ... : 52 258 590 9880
 ... : 52 258 590 9947
 ... : 52 258 590 10014
 ... : 52 258 590 10081
 ... : 52 258 590 10148
 ... : 52 258 590 10215
 ... : 52 258 590 10282
 ... : 52 258 590 10349
 ... : 52 258 590 10416
 ... : 52 258 590 10483
 ... : 52 258 590 10550
 ... : 52 258 590 10617
 ... : 52 258 590 10684
 ... : 52 258 590 10751
 ... : 52 258 590 10818
 ... : 52 258 590 10885
 ... : 52 258 590 10952
 ... : 52 258 590 11019
 ... : 52 258 590 11086
 ... : 52 258 590 11155
 ... : 52 258 590 11222
 ... : 52 258 590 11289
 ... : 52 258 590 11357
 ... : 52 258 590 11424
 ... : 52 258 590 11491
 ... : 52 258 590 11558
 ... : 52 258 590 11625
 ... : 52 258 590 11692
 ... : 52 258 590 11759
 ... : 52 258 590 11826
 ... : 52 258 590 11893
 ... : 52 258 590 11960
 ... : 52 258 590 12027
 ... : 52 258 590 12094
 ... : 52 258 590 12161
 ... : 52 258 590 12228
 ... : 52 258 590 12295
 ... : 52 258 590 12362
 ... : 52 258 590 12429
 ... : 52 258 590 12496
 ... : 52 258 590 12563
 ... : 52 258 590 12631
 ... : 52 258 590 12698
 ... : 52 258 590 12765
 ... : 52 258 590 12832
 ... : 52 258 590 12899
 ... : 52 258 590 12966
 ... : 52 258 590 13034
 ... : 52 258 590 13101
 ... : 52 258 590 13168
 ... : 52 258 590 13235
 ... : 52 258 590 13302
 ... : 52 258 590 13369
 ... : 52 258 591 13436
 ... : 52 258 591 13503
 ... : 52 258 591 13570
 ... : 52 258 591 13637
 ... : 52 258 591 13704
 ... : 52 258 591 13771
 ... : 52 258 591 13838
 ... : 52 258 591 13905
 ... : 52 258 591 13972
 ... : 52 258 591 14039
 ... : 52 258 591 14106
 ... : 52 258 591 14173
 ... : 52 258 591 14240
 ... : 52 258 591 14307
 ... : 52 258 591 14374
 ... : 52 258 591 14441
 ... : 52 258 591 14508
 ... : 52 258 591 14575
 ... : 52 258 591 14642
 ... : 52 258 591 14709
 ... : 52 258 591 14776
 ... : 52 258 591 14843
 ... : 52 258 591 14910
 ... : 52 258 591 14977
 ... : 52 258 591 15044
 ... : 52 258 591 15111
 ... : 52 258 591 15178
 ... : 52 258 591 15245
 ... : 52 258 591 15312
 ... : 52 258 591 15379
 ... : 52 258 591 15446
 ... : 52 258 591 15513
 ... : 52 258 591 15580
 ... : 52 258 591 15647
 ... : 52 258 591 15714
 ... : 52 258 591 15781
 ... : 52 258 591 15848
 ... : 52 258 591 15915
 ... : 52 258 591 15982
 ... : 52 258 591 16049
 ... : 52 258 591 16116
 ... : 52 258 591 16183
 ... : 52 258 591 16250
 ... : 52 258 591 16317
 ... : 52 258 591 16384
 ... : 52 258 591 16451
 ... : 52 258 591 16518
 ... : 52 258 591 16585
 ... : 52 258 591 16652
 ... : 52 258 591 16719
 ... : 52 258 591 16786
 ... : 52 258 591 16853
